unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1632271680,2021-09-22 00:48:00,BTC/USD,40662.38,40733.33,40662.38,40733.33,10.40337335,423764.03977875557
1632271620,2021-09-22 00:47:00,BTC/USD,40628.50,40666.85,40610.92,40653.71,0.76069330,30925.004817143
1632271560,2021-09-22 00:46:00,BTC/USD,40632.72,40679.65,40580.18,40600.58,0.33566948,13628.375576298402
1632271500,2021-09-22 00:45:00,BTC/USD,40712.57,40733.03,40621.57,40637.11,0.49463811,20100.6632862621
1632271440,2021-09-22 00:44:00,BTC/USD,40716.39,40744.73,40674.08,40744.73,2.88838937,117686.64501552012
1632271380,2021-09-22 00:43:00,BTC/USD,40739.68,40781.47,40701.67,40718.26,0.47055302,19160.1002121452
1632271320,2021-09-22 00:42:00,BTC/USD,40727.00,40756.57,40673.47,40727.40,5.02188080,204528.14809392
1632271260,2021-09-22 00:41:00,BTC/USD,40729.30,40748.17,40688.04,40747.94,0.86036401,35058.0610576394
1632271200,2021-09-22 00:40:00,BTC/USD,40684.88,40726.50,40662.49,40717.22,0.28996834,11806.7046928148
1632271140,2021-09-22 00:39:00,BTC/USD,40660.54,40765.86,40619.70,40619.70,1.08724250,44163.46417724999
1632271080,2021-09-22 00:38:00,BTC/USD,40650.39,40742.47,40649.90,40663.04,0.19480000,7921.160192
1632271020,2021-09-22 00:37:00,BTC/USD,40671.74,40681.28,40607.34,40638.20,0.08135144,3305.9760890079997
1632270960,2021-09-22 00:36:00,BTC/USD,40701.25,40753.18,40595.00,40642.71,0.80121304,32563.4692329384
1632270900,2021-09-22 00:35:00,BTC/USD,40833.21,40838.26,40681.81,40718.37,5.92294578,241172.69775997862
1632270840,2021-09-22 00:34:00,BTC/USD,40977.69,40977.69,40770.00,40770.00,2.71364739,110635.40409030001
1632270780,2021-09-22 00:33:00,BTC/USD,41043.32,41043.32,40967.37,40982.56,0.40529780,16610.141406368
1632270720,2021-09-22 00:32:00,BTC/USD,41096.60,41096.60,41057.39,41063.69,2.66702149,109517.74368869812
1632270660,2021-09-22 00:31:00,BTC/USD,41042.15,41145.95,41042.15,41138.60,0.34956006,14380.411484316
1632270600,2021-09-22 00:30:00,BTC/USD,41102.70,41102.71,41049.32,41050.45,0.36125337,14829.6134025165
1632270540,2021-09-22 00:29:00,BTC/USD,41097.70,41148.22,41079.59,41135.64,3.91743908,161146.3637168112
1632270480,2021-09-22 00:28:00,BTC/USD,41096.65,41115.31,41089.88,41098.96,0.66792226,27450.9102468496
1632270420,2021-09-22 00:27:00,BTC/USD,41028.06,41111.04,41028.06,41108.03,10.06563345,413778.3618316035
1632270360,2021-09-22 00:26:00,BTC/USD,41122.99,41122.99,41050.00,41050.00,0.20369082,8361.508161
1632270300,2021-09-22 00:25:00,BTC/USD,41105.94,41146.37,41105.94,41142.64,0.38851505,15984.534836731998
1632270240,2021-09-22 00:24:00,BTC/USD,41118.39,41157.14,41112.75,41131.91,0.26853493,11045.354572616301
